data,conta,tipo,categoria,valor,forma_pagamento,descricao
2024-09-14,Papaya,Entrada,Recebimento Clientes,22406,Dinheiro,Recebimento
2024-06-06,Zov,Entrada,Antecipação,33818,Boleto,Recebimento
2024-11-23,Papaya,Saída,Marketing,19053,TED,Pagamento
2024-07-01,Mdias,Saída,Impostos,13713,PIX,Pagamento
2024-10-10,Mdias,Entrada,Antecipação,42469,Cartão,Recebimento
2024-01-06,Mdias,Saída,Fornecedor,15132,Dinheiro,Pagamento
2024-03-06,Zov,Entrada,Recebimento Clientes,18980,PIX,Recebimento
2024-01-02,Papaya,Entrada,Antecipação,46173,PIX,Recebimento
2024-07-01,Zov,Saída,Marketing,25929,PIX,Pagamento
2024-10-09,Papaya,Saída,Impostos,14765,Boleto,Pagamento
2024-05-25,Zov,Entrada,Antecipação,5900,PIX,Recebimento
2024-12-14,Zov,Saída,Impostos,15575,PIX,Pagamento
2024-12-10,Zov,Saída,Marketing,27734,Dinheiro,Pagamento
2024-01-10,Zov,Saída,Fornecedor,31709,Cartão,Pagamento
2024-11-05,Papaya,Saída,Fornecedor,15592,TED,Pagamento
2024-09-03,Zov,Entrada,Outros Recebimentos,38892,Dinheiro,Recebimento
2024-06-28,Mdias,Saída,Fornecedor,16967,Cartão,Pagamento
2024-10-26,Zov,Saída,Impostos,30908,PIX,Pagamento
2024-06-20,Mdias,Saída,Folha de Pagamento,14388,Boleto,Pagamento
2024-12-25,Zov,Entrada,Recebimento Clientes,19566,Dinheiro,Recebimento
2024-06-28,Zov,Entrada,Antecipação,21958,Cartão,Recebimento
2024-09-19,Mdias,Entrada,Antecipação,4986,TED,Recebimento
2024-11-09,Mdias,Saída,Fornecedor,12482,TED,Pagamento
2024-02-28,Papaya,Entrada,Recebimento Clientes,36681,Dinheiro,Recebimento
2024-12-04,Mdias,Entrada,Recebimento Clientes,5715,Dinheiro,Recebimento
2024-04-27,Papaya,Saída,Folha de Pagamento,30051,Cartão,Pagamento
2024-01-16,Papaya,Entrada,Recebimento Clientes,44825,Dinheiro,Recebimento
2024-11-20,Papaya,Entrada,Antecipação,48080,Boleto,Recebimento
2024-02-26,Papaya,Saída,Marketing,24754,TED,Pagamento
2024-09-13,Papaya,Entrada,Outros Recebimentos,14021,TED,Recebimento
2024-10-26,Papaya,Saída,Impostos,13409,Cartão,Pagamento
2024-02-19,Zov,Entrada,Outros Recebimentos,25856,Boleto,Recebimento
2024-07-27,Mdias,Saída,Fornecedor,33491,Boleto,Pagamento
2024-06-23,Zov,Saída,Folha de Pagamento,8118,Dinheiro,Pagamento
2024-09-27,Papaya,Entrada,Outros Recebimentos,16701,Cartão,Recebimento
2024-12-16,Papaya,Entrada,Recebimento Clientes,39037,Cartão,Recebimento
2024-09-23,Zov,Saída,Fornecedor,39788,PIX,Pagamento
2024-03-15,Zov,Entrada,Recebimento Clientes,504,Boleto,Recebimento
2024-10-22,Papaya,Saída,Fornecedor,20452,Cartão,Pagamento
2024-11-14,Zov,Entrada,Recebimento Clientes,42959,PIX,Recebimento
2024-10-28,Mdias,Entrada,Recebimento Clientes,3495,Boleto,Recebimento
2024-03-11,Mdias,Entrada,Outros Recebimentos,19286,Cartão,Recebimento
2024-09-05,Zov,Saída,Impostos,26273,PIX,Pagamento
2024-10-26,Papaya,Saída,Marketing,34547,PIX,Pagamento
2024-03-06,Papaya,Saída,Folha de Pagamento,9624,Boleto,Pagamento
2024-11-12,Zov,Saída,Marketing,30118,PIX,Pagamento
2024-05-02,Mdias,Entrada,Antecipação,5252,PIX,Recebimento
2024-04-20,Papaya,Entrada,Outros Recebimentos,15279,Boleto,Recebimento
2024-04-01,Mdias,Entrada,Recebimento Clientes,48869,Boleto,Recebimento
2024-11-06,Mdias,Entrada,Antecipação,14816,Dinheiro,Recebimento
2024-07-11,Zov,Entrada,Antecipação,49210,TED,Recebimento
2024-07-09,Zov,Saída,Fornecedor,16564,Cartão,Pagamento
2024-10-05,Zov,Saída,Folha de Pagamento,19049,Dinheiro,Pagamento
2024-03-20,Mdias,Entrada,Outros Recebimentos,47360,PIX,Recebimento
2024-12-19,Zov,Entrada,Outros Recebimentos,12307,TED,Recebimento
2024-07-24,Papaya,Saída,Fornecedor,23508,Boleto,Pagamento
2024-11-15,Zov,Entrada,Antecipação,30925,Dinheiro,Recebimento
2024-02-25,Papaya,Entrada,Recebimento Clientes,6812,Cartão,Recebimento
2024-01-15,Papaya,Entrada,Outros Recebimentos,30801,Cartão,Recebimento
2024-05-16,Mdias,Entrada,Recebimento Clientes,10809,TED,Recebimento
2024-09-13,Papaya,Saída,Impostos,23932,PIX,Pagamento
2024-01-21,Mdias,Entrada,Antecipação,10619,Boleto,Recebimento
2024-01-08,Mdias,Saída,Fornecedor,36648,Dinheiro,Pagamento
2024-03-16,Mdias,Entrada,Recebimento Clientes,28522,PIX,Recebimento
2024-03-24,Mdias,Saída,Impostos,36836,Cartão,Pagamento
2024-04-06,Mdias,Entrada,Outros Recebimentos,40775,Boleto,Recebimento
2024-06-05,Zov,Entrada,Outros Recebimentos,21936,PIX,Recebimento
2024-01-23,Mdias,Entrada,Antecipação,30070,TED,Recebimento
2024-04-03,Zov,Entrada,Recebimento Clientes,21490,PIX,Recebimento
2024-03-15,Zov,Entrada,Antecipação,33464,Dinheiro,Recebimento
2024-01-20,Mdias,Entrada,Outros Recebimentos,11922,Cartão,Recebimento
2024-02-20,Papaya,Entrada,Antecipação,36272,TED,Recebimento
2024-01-03,Zov,Saída,Fornecedor,19852,Boleto,Pagamento
2024-03-26,Zov,Saída,Impostos,21152,Boleto,Pagamento
2024-10-18,Zov,Entrada,Antecipação,30299,PIX,Recebimento
2024-06-06,Zov,Entrada,Outros Recebimentos,49518,PIX,Recebimento
2024-01-19,Papaya,Saída,Fornecedor,26650,Cartão,Pagamento
2024-08-07,Mdias,Saída,Fornecedor,11295,Cartão,Pagamento
2024-06-03,Papaya,Entrada,Recebimento Clientes,2741,TED,Recebimento
2024-11-23,Mdias,Entrada,Antecipação,10824,Cartão,Recebimento
2024-02-04,Papaya,Entrada,Outros Recebimentos,12160,Dinheiro,Recebimento
2024-05-16,Mdias,Saída,Marketing,16166,Boleto,Pagamento
2024-04-04,Papaya,Entrada,Outros Recebimentos,27362,TED,Recebimento
2024-04-14,Mdias,Entrada,Recebimento Clientes,48727,Boleto,Recebimento
